ADM1_EN,ADM1_PCODE,ADM1_TH
Amnat Charoen,TH37,อำนาจเจริญ
Ang Thong,TH15,อ่างทอง
Bangkok,TH10,กรุงเทพมหานคร
Bueng Kan,TH38,บึงกาฬ
Buri Ram,TH31,บุรีรัมย์
Chachoengsao,TH24,ฉะเชิงเทรา
Chai Nat,TH18,ชัยนาท
Chaiyaphum,TH36,ชัยภูมิ
Chanthaburi,TH22,จันทบุรี
Chiang Mai,TH50,เชียงใหม่
Chiang Rai,TH57,เชียงราย
Chon Buri,TH20,ชลบุรี
Chumphon,TH86,ชุมพร
Kalasin,TH46,กาฬสินธุ์
Kamphaeng Phet,TH62,กำแพงเพชร
Kanchanaburi,TH71,กาญจนบุรี
Khon Kaen,TH40,ขอนแก่น
Krabi,TH81,กระบี่
Lampang,TH52,ลำปาง
Lamphun,TH51,ลำพูน
Loei,TH42,เลย
Lop Buri,TH16,ลพบุรี
Mae Hong Son,TH58,แม่ฮ่องสอน
Maha Sarakham,TH44,มหาสารคาม
Mukdahan,TH49,มุกดาหาร
Nakhon Nayok,TH26,นครนายก
Nakhon Pathom,TH73,นครปฐม
Nakhon Phanom,TH48,นครพนม
Nakhon Ratchasima,TH30,นครราชสีมา
Nakhon Sawan,TH60,นครสวรรค์
Nakhon Si Thammarat,TH80,นครศรีธรรมราช
Nan,TH55,น่าน
Narathiwat,TH96,นราธิวาส
Nong Bua Lam Phu,TH39,หนองบัวลำภู
Nong Khai,TH43,หนองคาย
Nonthaburi,TH12,นนทบุรี
Pathum Thani,TH13,ปทุมธานี
Pattani,TH94,ปัตตานี
Phangnga,TH82,พังงา
Phatthalung,TH93,พัทลุง
Phayao,TH56,พะเยา
Phetchabun,TH67,เพชรบูรณ์
Phetchaburi,TH76,เพชรบุรี
Phichit,TH66,พิจิตร
Phitsanulok,TH65,พิษณุโลก
Phra Nakhon Si Ayutthaya,TH14,พระนครศรีอยุธยา
Phrae,TH54,แพร่
Phuket,TH83,ภูเก็ต
Prachin Buri,TH25,ปราจีนบุรี
Prachuap Khiri Khan,TH77,ประจวบคีรีขันธ์
Ranong,TH85,ระนอง
Ratchaburi,TH70,ราชบุรี
Rayong,TH21,ระยอง
Roi Et,TH45,ร้อยเอ็ด
Sa Kaeo,TH27,สระแก้ว
Sakon Nakhon,TH47,สกลนคร
Samut Prakan,TH11,สมุทรปราการ
Samut Sakhon,TH74,สมุทรสาคร
Samut Songkhram,TH75,สมุทรสงคราม
Saraburi,TH19,สระบุรี
Satun,TH91,สตูล
Si Sa Ket,TH33,ศรีสะเกษ
Sing Buri,TH17,สิงห์บุรี
Songkhla,TH90,สงขลา
Sukhothai,TH64,สุโขทัย
Suphan Buri,TH72,สุพรรณบุรี
Surat Thani,TH84,สุราษฎร์ธานี
Surin,TH32,สุรินทร์
Tak,TH63,ตาก
Trang,TH92,ตรัง
Trat,TH23,ตราด
Ubon Ratchathani,TH34,อุบลราชธานี
Udon Thani,TH41,อุดรธานี
Uthai Thani,TH61,อุทัยธานี
Uttaradit,TH53,อุตรดิตถ์
Yala,TH95,ยะลา
Yasothon,TH35,ยโสธร
