"ADM1_EN","ADM1_TH","ADM1_PCODE","LAT","LONG"
"Bangkok","กรุงเทพมหานคร","TH10",13.7278956,100.5241235
"Krabi","กระบี่","TH81",8.0862997,98.9062835
"Kanchanaburi","กาญจนบุรี","TH71",14.0227797,99.5328115
"Kalasin","กาฬสินธุ์","TH46",16.4314078,103.5058755
"Kamphaeng Phet","กำแพงเพชร","TH62",16.4827798,99.5226617999999
"Khon Kaen","ขอนแก่น","TH40",16.4419355,102.8359921
"Chanthaburi","จันทบุรี","TH22",12.61134,102.1038546
"Chachoengsao","ฉะเชิงเทรา","TH24",13.6904194,101.0779596
"Chon Buri","ชลบุรี","TH20",13.3611431,100.9846717
"Chai Nat","ชัยนาท","TH18",15.1851971,100.125125
"Chaiyaphum","ชัยภูมิ","TH36",15.8068173,102.0315027
"Chumphon","ชุมพร","TH86",10.4930496,99.1800198999999
"Chiang Rai","เชียงราย","TH57",19.9071656,99.830955
"Chiang Mai","เชียงใหม่","TH50",18.7877477,98.9931311
"Trang","ตรัง","TH92",7.5593851,99.6110065
"Trat","ตราด","TH23",12.2427563,102.5174734
"Tak","ตาก","TH63",16.8839901,99.1258498
"Nakhon Nayok","นครนายก","TH26",14.2069466,101.2130511
"Nakhon Pathom","นครปฐม","TH73",13.8199206,100.0621676
"Nakhon Phanom","นครพนม","TH48",17.392039,104.7695508
"Nakhon Ratchasima","นคราชสีมา","TH30",14.9798997,102.0977693
"Nakhon Si Thammarat","นครศรีธรรมราช","TH80",8.4303975,99.9631219
"Nakhon Sawan","นครสวรรค์","TH60",15.6930072,100.1225595
"Nonthaburi","นนทบุรี","TH12",13.8621125,100.5143528
"Narathiwat","นราธิวาส","TH96",6.4254607,101.8253143
"Nan","น่าน","TH55",18.7756318,100.7730417
"Buri Ram","บุรีรัมย์","TH31",14.9930017,103.1029191
"Pathum Thani","ปทุมธานี","TH13",14.0208391,100.5250276
"Prachuap Khiri Khan","ประจวบคีรีขันธ์","TH77",11.812367,99.7973271
"Prachin Buri","ปราจีนบุรี","TH25",14.0509704,101.3727439
"Pattani","ปัตตานี","TH94",6.8694844,101.2504826
"Phra Nakhon Si Ayutthaya","พระนครศรีอยุธยา","TH14",14.3532128,100.5689599
"Phayao","พะเยา","TH56",19.1664789,99.9019419
"Phangnga","พังงา","TH82",8.4407456,98.5193032
"Phatthalung","พัทลุง","TH93",7.6166823,100.0740231
"Phichit","พิจิตร","TH66",16.4429516,100.3482329
"Phitsanulok","พิษณุโลก","TH65",16.8298048,100.2614915
"Phetchaburi","เพชรบุรี","TH76",13.1111601,99.9391307
"Phetchabun","เพชรบูรณ์","TH67",16.4189807,101.1550926
"Phrae","แพร่","TH54",18.1445774,100.1402831
"Phuket","ภูเก็ต","TH83",7.9810496,98.3638824
"Maha Sarakham","มหาสารคาม","TH44",16.1850896,103.3026461
"Mukdahan","มุกดาหาร","TH49",16.542443,104.7209151
"Mae Hong Son","แม่ฮ่องสอน","TH58",19.2990643,97.9656226
"Yasothon","ยโสธร","TH35",15.792641,104.1452827
"Yala","ยะลา","TH95",6.541147,101.2803947
"Roi Et","ร้อยเอ็ด","TH45",16.0538196,103.6520036
"Ranong","ระนอง","TH85",9.9528702,98.6084641
"Rayong","ระยอง","TH21",12.6833115,101.2374295
"Ratchaburi","ราชบุรี","TH70",13.5282893,99.8134211
"Lop Buri","ลพบุรี","TH16",14.7995081,100.6533706
"Lampang","ลำปาง","TH52",18.2888404,99.490874
"Lamphun","ลำพูน","TH51",18.5744606,99.0087221
"Loei","เลย","TH42",17.4860232,101.7223002
"Si Sa Ket","ศรีสะเกษ","TH33",15.1186009,104.3220095
"Sakon Nakhon","สกลนคร","TH47",17.1545995,104.1348365
"Songkhla","สงขลา","TH90",7.1756004,100.614347
"Satun","สตูล","TH91",6.6238158,100.0673744
"Samut Prakan","สมุทรปราการ","TH11",13.5990961,100.5998319
"Samut Songkhram","สมุทรสงคราม","TH75",13.4098217,100.0022645
"Samut Sakhon","สมุทรสาคร","TH74",13.5475216,100.2743956
"Sa Kaeo","สระแก้ว","TH27",13.824038,102.0645839
"Saraburi","สระบุรี","TH19",14.5289154,100.9101421
"Sing Buri","สิงห์บุรี","TH17",14.8936253,100.3967314
"Sukhothai","สุโขทัย","TH64",17.0055573,99.8263712
"Suphan Buri","สุพรรณบุรี","TH72",14.4744892,100.1177128
"Surat Thani","สุราษฎร์ธานี","TH84",9.1382389,99.3217483
"Surin","สุรินทร์","TH32",14.882905,103.4937107
"Nong Khai","หนองคาย","TH43",17.8782803,102.7412638
"Nong Bua Lam Phu","หนองบัวลำภู","TH39",17.2218247,102.4260368
"Ang Thong","อ่างทอง","TH15",14.5896054,100.455052
"Amnat Charoen","อำนาจเจริญ","TH37",15.8656783,104.6257774
"Udon Thani","อุดรธานี","TH41",17.4138413,102.7872325
"Uttaradit","อุตรดิตถ์","TH53",17.6200886,100.0992942
"Uthai Thani","อุทัยธานี","TH61",15.3835001,100.0245527
"Ubon Ratchathani","อุบลราชธานี","TH34",15.2286861,104.8564217
"Bueng Kan","บึงกาฬ","TH38",18.3609104,103.6464463
