"date","update","ADM1_TH","new_case","total_case","new_death","total_death","ADM1_EN","ADM1_PCODE","Population","weeknum"
2020-01-13,2,"กระบี่",0,0,0,0,"Krabi","TH81",347995,NA
2020-01-13,2,"กรุงเทพมหานคร",1,1,0,0,"Bangkok","TH10",10709136,NA
2020-01-13,2,"กาญจนบุรี",0,0,0,0,"Kanchanaburi","TH71",778936,NA
2020-01-13,2,"กาฬสินธุ์",0,0,0,0,"Kalasin","TH46",664356,NA
2020-01-13,2,"กำแพงเพชร",0,0,0,0,"Kamphaeng Phet","TH62",842777,NA
2020-01-13,2,"ขอนแก่น",0,0,0,0,"Khon Kaen","TH40",1630099,NA
2020-01-13,2,"จันทบุรี",0,0,0,0,"Chanthaburi","TH22",442591,NA
2020-01-13,2,"ฉะเชิงเทรา",0,0,0,0,"Chachoengsao","TH24",738516,NA
2020-01-13,2,"ชลบุรี",0,0,0,0,"Chon Buri","TH20",2147385,NA
2020-01-13,2,"ชัยนาท",0,0,0,0,"Chai Nat","TH18",234108,NA
2020-01-13,2,"ชัยภูมิ",0,0,0,0,"Chaiyaphum","TH36",764624,NA
2020-01-13,2,"ชุมพร",0,0,0,0,"Chumphon","TH86",441213,NA
2020-01-13,2,"ตรัง",0,0,0,0,"Trang","TH92",540949,NA
2020-01-13,2,"ตราด",0,0,0,0,"Trat","TH23",264085,NA
2020-01-13,2,"ตาก",0,0,0,0,"Tak","TH63",510728,NA
2020-01-13,2,"นครนายก",0,0,0,0,"Nakhon Nayok","TH26",227464,NA
2020-01-13,2,"นครปฐม",0,0,0,0,"Nakhon Pathom","TH73",1028904,NA
2020-01-13,2,"นครพนม",0,0,0,0,"Nakhon Phanom","TH48",449625,NA
2020-01-13,2,"นครราชสีมา",0,0,0,0,"Nakhon Ratchasima","TH30",2368321,NA
2020-01-13,2,"นครศรีธรรมราช",0,0,0,0,"Nakhon Si Thammarat","TH80",1260910,NA
2020-01-13,2,"นครสวรรค์",0,0,0,0,"Nakhon Sawan","TH60",826586,NA
