"date","new_case","total_case","new_death","total_death","Population","year","weeknum"
2020-01-12,1,1,0,0,68977400,NA,NA
2020-01-13,0,1,0,0,68977400,NA,NA
2020-01-14,0,1,0,0,68977400,NA,NA
2020-01-15,0,1,0,0,68977400,NA,NA
2020-01-16,0,1,0,0,68977400,NA,NA
2020-01-17,1,2,0,0,68977400,NA,NA
2020-01-18,0,2,0,0,68977400,NA,NA
2020-01-19,0,2,0,0,68977400,NA,NA
2020-01-20,0,2,0,0,68977400,NA,NA
2020-01-21,0,2,0,0,68977400,NA,NA
2020-01-22,2,4,0,0,68977400,NA,NA
2020-01-23,0,4,0,0,68977400,NA,NA
2020-01-24,1,5,0,0,68977400,NA,NA
2020-01-25,1,6,0,0,68977400,NA,NA
2020-01-26,2,8,0,0,68977400,NA,NA
2020-01-27,0,8,0,0,68977400,NA,NA
2020-01-28,6,14,0,0,68977400,NA,NA
2020-01-29,0,14,0,0,68977400,NA,NA
2020-01-30,0,14,0,0,68977400,NA,NA
2020-01-31,5,19,0,0,68977400,NA,NA
2020-02-01,0,19,0,0,68977400,NA,NA
2020-02-02,0,19,0,0,68977400,NA,NA
2020-02-03,0,19,0,0,68977400,NA,NA
2020-02-04,6,25,0,0,68977400,NA,NA
2020-02-05,0,25,0,0,68977400,NA,NA
2020-02-06,0,25,0,0,68977400,NA,NA
2020-02-07,0,25,0,0,68977400,NA,NA
2020-02-08,7,32,0,0,68977400,NA,NA
2020-02-09,0,32,0,0,68977400,NA,NA
2020-02-10,0,32,0,0,68977400,NA,NA
2020-02-11,1,33,0,0,68977400,NA,NA
2020-02-12,0,33,0,0,68977400,NA,NA
2020-02-13,0,33,0,0,68977400,NA,NA
2020-02-14,0,33,0,0,68977400,NA,NA
2020-02-15,1,34,0,0,68977400,NA,NA
2020-02-16,0,34,0,0,68977400,NA,NA
2020-02-17,1,35,0,0,68977400,NA,NA
2020-02-18,0,35,0,0,68977400,NA,NA
2020-02-19,0,35,0,0,68977400,NA,NA
2020-02-20,0,35,0,0,68977400,NA,NA
2020-02-21,0,35,0,0,68977400,NA,NA
2020-02-22,0,35,0,0,68977400,NA,NA
2020-02-23,0,35,0,0,68977400,NA,NA
2020-02-24,0,35,0,0,68977400,NA,NA
2020-02-25,2,37,0,0,68977400,NA,NA
2020-02-26,3,40,0,0,68977400,NA,NA
2020-02-27,0,40,0,0,68977400,NA,NA
2020-02-28,1,41,0,0,68977400,NA,NA
2020-02-29,1,42,0,0,68977400,NA,NA
2020-03-01,0,42,1,1,68977400,NA,NA
2020-03-02,1,43,0,1,68977400,NA,NA
2020-03-03,0,43,0,1,68977400,NA,NA
2020-03-04,0,43,0,1,68977400,NA,NA
2020-03-05,4,47,0,1,68977400,NA,NA
2020-03-06,1,48,0,1,68977400,NA,NA
2020-03-07,2,50,0,1,68977400,NA,NA
2020-03-08,0,50,0,1,68977400,NA,NA
2020-03-09,0,50,0,1,68977400,NA,NA
2020-03-10,3,53,0,1,68977400,NA,NA
2020-03-11,6,59,0,1,68977400,NA,NA
2020-03-12,13,72,0,1,68977400,NA,NA
2020-03-13,3,75,0,1,68977400,NA,NA
2020-03-14,7,82,0,1,68977400,NA,NA
2020-03-15,32,114,0,1,68977400,NA,NA
2020-03-16,33,147,0,1,68977400,NA,NA
2020-03-17,30,177,0,1,68977400,NA,NA
2020-03-18,35,212,0,1,68977400,NA,NA
2020-03-19,60,272,0,1,68977400,NA,NA
2020-03-20,50,322,0,1,68977400,NA,NA
2020-03-21,89,411,0,1,68977400,NA,NA
2020-03-22,188,599,0,1,68977400,NA,NA
2020-03-23,122,721,0,1,68977400,NA,NA
2020-03-24,106,827,4,5,68977400,NA,NA
2020-03-25,107,934,0,5,68977400,NA,NA
2020-03-26,111,1045,0,5,68977400,NA,NA
2020-03-27,91,1136,0,5,68977400,NA,NA
2020-03-28,108,1244,1,6,68977400,NA,NA
2020-03-29,141,1385,1,7,68977400,NA,NA
2020-03-30,138,1523,2,9,68977400,NA,NA
2020-03-31,128,1651,1,10,68977400,NA,NA
2020-04-01,120,1771,2,12,68977400,NA,NA
2020-04-02,104,1875,3,15,68977400,NA,NA
2020-04-03,103,1978,4,19,68977400,NA,NA
2020-04-04,89,2067,1,20,68977400,NA,NA
2020-04-05,102,2169,3,23,68977400,NA,NA
2020-04-06,51,2220,3,26,68977400,NA,NA
2020-04-07,38,2258,1,27,68977400,NA,NA
2020-04-08,111,2369,5,32,68977400,NA,NA
2020-04-09,54,2423,0,32,68977400,NA,NA
2020-04-10,50,2473,1,33,68977400,NA,NA
2020-04-11,45,2518,2,35,68977400,NA,NA
2020-04-12,33,2551,3,38,68977400,NA,NA
2020-04-13,28,2579,2,40,68977400,NA,NA
2020-04-14,34,2613,1,41,68977400,NA,NA
2020-04-15,30,2643,2,43,68977400,NA,NA
2020-04-16,29,2672,3,46,68977400,NA,NA
2020-04-17,28,2700,1,47,68977400,NA,NA
2020-04-18,33,2733,0,47,68977400,NA,NA
2020-04-19,32,2765,0,47,68977400,NA,NA
2020-04-20,27,2792,0,47,68977400,NA,NA
2020-04-21,19,2811,2,49,68977400,NA,NA
2020-04-22,15,2826,0,49,68977400,NA,NA
2020-04-23,13,2839,1,50,68977400,NA,NA
2020-04-24,15,2854,0,50,68977400,NA,NA
2020-04-25,53,2907,1,51,68977400,NA,NA
2020-04-26,15,2922,0,51,68977400,NA,NA
2020-04-27,9,2931,1,52,68977400,NA,NA
2020-04-28,7,2938,2,54,68977400,NA,NA
2020-04-29,9,2947,0,54,68977400,NA,NA
2020-04-30,7,2954,0,54,68977400,NA,NA
2020-05-01,6,2960,0,54,68977400,NA,NA
2020-05-02,6,2966,0,54,68977400,NA,NA
2020-05-03,3,2969,0,54,68977400,NA,NA
2020-05-04,18,2987,0,54,68977400,NA,NA
2020-05-05,1,2988,0,54,68977400,NA,NA
2020-05-06,1,2989,1,55,68977400,NA,NA
2020-05-07,3,2992,0,55,68977400,NA,NA
2020-05-08,8,3000,0,55,68977400,NA,NA
2020-05-09,4,3004,1,56,68977400,NA,NA
2020-05-10,5,3009,0,56,68977400,NA,NA
2020-05-11,6,3015,0,56,68977400,NA,NA
2020-05-12,2,3017,0,56,68977400,NA,NA
2020-05-13,0,3017,0,56,68977400,NA,NA
2020-05-14,1,3018,0,56,68977400,NA,NA
2020-05-15,7,3025,0,56,68977400,NA,NA
2020-05-16,0,3025,0,56,68977400,NA,NA
2020-05-17,3,3028,0,56,68977400,NA,NA
2020-05-18,3,3031,0,56,68977400,NA,NA
2020-05-19,2,3033,0,56,68977400,NA,NA
2020-05-20,1,3034,0,56,68977400,NA,NA
2020-05-21,3,3037,0,56,68977400,NA,NA
2020-05-22,0,3037,0,56,68977400,NA,NA
