"date","new_case","total_case","new_death","total_death","Population","weeknum"
2020-01-31,19,19,0,0,68977400,NA
2020-02-29,23,42,0,0,68977400,NA
2020-03-31,1609,1651,10,10,68977400,NA
2020-04-30,1303,2954,44,54,68977400,NA
2020-05-31,127,3081,3,57,68977400,NA
2020-06-30,90,3171,1,58,68977400,NA
2020-07-31,138,3309,0,58,68977400,NA
2020-08-31,102,3411,0,58,68977400,NA
2020-09-30,152,3563,1,59,68977400,NA
2020-10-31,213,3776,0,59,68977400,NA
2020-11-30,211,3987,1,60,68977400,NA
2020-12-31,2885,6872,1,61,68977400,NA
2021-01-31,11898,18770,16,77,68977400,NA
2021-02-28,7169,25939,6,83,68977400,NA
2021-03-31,2912,28851,11,94,68977400,NA
2021-04-30,36149,65000,109,203,68977400,NA
2021-05-31,94639,159639,828,1031,68977400,NA
2021-06-30,99509,259148,992,2023,68977400,NA
2021-07-31,337986,597134,2834,4857,68977400,NA
2021-08-31,607442,1204576,6732,11589,68977400,NA
2021-09-30,398746,1603322,5135,16724,68977400,NA
2021-10-31,308549,1911871,2453,19177,68977400,NA
2021-11-30,203848,2115719,1566,20743,68977400,NA
2021-12-31,107543,2223262,955,21698,68977400,NA
2022-01-31,217107,2440369,475,22173,68977400,NA
2022-02-28,451385,2891754,760,22933,68977400,NA
2022-03-31,736420,3628174,2195,25128,68977400,NA
2022-11-28,4409086,4707011,35687,33180,68977400,3604
