"date","update","new_case","total_case","new_death","total_death","Population"
2020-01-13,154,1,1,0,0,68977400
2020-01-20,693,1,2,0,0,68977400
2020-01-31,1540,17,19,0,0,68977400
2020-02-06,2002,6,25,0,0,68977400
2020-02-13,2541,8,33,0,0,68977400
2020-02-20,3080,2,35,0,0,68977400
2020-02-29,3773,7,42,0,0,68977400
2020-03-06,4235,6,48,1,1,68977400
2020-03-13,4774,27,75,0,1,68977400
2020-03-20,5313,247,322,0,1,68977400
2020-03-31,6160,1329,1651,9,10,68977400
2020-04-06,6622,569,2220,16,26,68977400
2020-04-13,7161,359,2579,14,40,68977400
2020-04-20,7700,213,2792,7,47,68977400
2020-04-30,8470,162,2954,7,54,68977400
2020-05-06,8932,35,2989,1,55,68977400
2020-05-13,9471,28,3017,1,56,68977400
2020-05-20,10010,17,3034,0,56,68977400
2020-05-31,10857,47,3081,1,57,68977400
2020-06-06,11319,23,3104,1,58,68977400
2020-06-13,11858,30,3134,0,58,68977400
2020-06-20,12397,13,3147,0,58,68977400
2020-06-30,13167,24,3171,0,58,68977400
2020-07-06,13629,24,3195,0,58,68977400
2020-07-13,14168,24,3219,0,58,68977400
2020-07-20,14707,30,3249,0,58,68977400
2020-07-31,15554,60,3309,0,58,68977400
2020-08-06,16016,20,3329,0,58,68977400
2020-08-13,16555,29,3358,0,58,68977400
2020-08-20,17094,30,3388,0,58,68977400
2020-08-31,17941,23,3411,0,58,68977400
2020-09-06,18403,32,3443,0,58,68977400
2020-09-13,18942,29,3472,0,58,68977400
2020-09-20,19481,33,3505,1,59,68977400
2020-09-30,20251,58,3563,0,59,68977400
2020-10-06,20713,36,3599,0,59,68977400
2020-10-13,21252,43,3642,0,59,68977400
2020-10-20,21791,54,3696,0,59,68977400
2020-10-31,22638,80,3776,0,59,68977400
2020-11-06,23100,34,3810,1,60,68977400
2020-11-13,23639,40,3850,0,60,68977400
2020-11-20,24178,31,3881,0,60,68977400
2020-11-30,24948,106,3987,0,60,68977400
2020-12-06,25410,88,4075,0,60,68977400
2020-12-13,25949,123,4198,0,60,68977400
2020-12-20,26488,698,4896,0,60,68977400
2020-12-31,27335,1976,6872,1,61,68977400
2021-01-06,27797,2447,9319,6,67,68977400
2021-01-13,28336,1660,10979,1,68,68977400
2021-01-20,28875,1662,12641,4,72,68977400
2021-01-31,29722,6129,18770,5,77,68977400
2021-02-06,30184,4352,23122,2,79,68977400
2021-02-13,30723,1271,24393,1,80,68977400
2021-02-20,31262,918,25311,3,83,68977400
2021-02-28,31878,628,25939,0,83,68977400
2021-03-06,32340,354,26293,2,85,68977400
2021-03-13,32879,452,26745,2,87,68977400
2021-03-20,33418,956,27701,3,90,68977400
2021-03-31,34265,1150,28851,4,94,68977400
2021-04-06,34727,708,29559,1,95,68977400
2021-04-13,35266,5004,34563,2,97,68977400
2021-04-20,35805,10469,45032,11,108,68977400
2021-04-30,36575,19968,65000,95,203,68977400
2021-05-06,37037,11658,76658,133,336,68977400
2021-05-13,37576,16983,93641,182,518,68977400
2021-05-20,38115,25791,119432,185,703,68977400
2021-05-31,38962,40207,159639,328,1031,68977400
2021-06-06,39424,17675,177314,205,1236,68977400
2021-06-13,39963,18442,195756,213,1449,68977400
2021-06-20,40502,22222,217978,180,1629,68977400
2021-06-30,41272,41170,259148,394,2023,68977400
2021-07-06,41734,35352,294500,310,2333,68977400
2021-07-13,42273,59059,353559,514,2847,68977400
2021-07-20,42812,72763,426322,655,3502,68977400
2021-07-31,43659,170812,597134,1355,4857,68977400
2021-08-06,44121,117397,714531,997,5854,68977400
2021-08-13,44660,148505,863036,1272,7126,68977400
2021-08-20,45199,146521,1009557,1700,8826,68977400
2021-08-31,46046,195019,1204576,2763,11589,68977400
2021-09-06,46508,89793,1294369,1453,13042,68977400
2021-09-13,47047,100234,1394603,1443,14485,68977400
2021-09-20,47586,94430,1489033,984,15469,68977400
2021-09-30,48356,114289,1603322,1255,16724,68977400
2021-10-06,48818,63622,1666944,578,17302,68977400
2021-10-13,49357,73331,1740275,587,17889,68977400
2021-10-20,49896,71424,1811699,569,18458,68977400
2021-10-31,50743,100172,1911871,719,19177,68977400
2021-11-06,51205,48015,1959886,406,19583,68977400
2021-11-13,51744,51292,2011178,378,19961,68977400
2021-11-20,52283,46244,2057422,369,20330,68977400
2021-11-30,53053,58297,2115719,413,20743,68977400
2021-12-06,53515,29369,2145088,195,20938,68977400
2021-12-13,54054,26803,2171891,228,21166,68977400
2021-12-20,54593,22009,2193900,214,21380,68977400
2021-12-26,55055,16396,2226273,160,21708,68977400
2022-01-02,55132,34593,2260866,105,21813,68977400
2022-01-09,55209,55369,2316235,103,21916,68977400
2022-01-16,55286,53406,2369641,103,22019,68977400
2022-01-30,55440,116308,2485949,252,22271,68977400
2022-02-06,55517,91323,2577272,141,22412,68977400
2022-02-13,55594,115917,2693189,182,22594,68977400
2022-02-20,55671,151535,2844724,255,22849,68977400
2022-02-27,55748,159917,3004641,327,23176,68977400
2022-03-06,55825,156427,3161068,467,23643,68977400
2022-03-13,55902,167732,3328800,519,24162,68977400
2022-03-20,55979,174291,3503091,553,24715,68977400
2022-03-27,56056,181491,3684582,603,25318,68977400
2022-04-03,56133,173591,3858173,657,25975,68977400
2022-04-10,56210,153838,4012011,779,26754,68977400
2022-04-17,56287,135906,4147917,895,27649,68977400
2022-04-24,56364,102859,4250776,877,28526,68977400
2022-05-01,56441,65820,4316596,508,29034,68977400
2022-05-08,56518,50983,4367579,387,29421,68977400
2022-05-15,56595,39003,4406582,294,29715,68977400
2022-05-29,56749,56802,4463384,428,30143,68977400
2022-06-05,56826,18832,4482216,171,30314,68977400
2022-06-12,56903,14763,4496979,131,30445,68977400
2022-06-19,56980,14625,4511604,130,30575,68977400
2022-06-26,57057,16000,4527604,106,30681,68977400
2022-07-03,57134,15262,4542866,132,30813,68977400
2022-07-10,57211,13962,4556828,165,30978,68977400
2022-07-17,57288,16462,4573290,149,31127,68977400
2022-07-31,57442,29896,4603186,434,31561,68977400
2022-08-07,57519,15293,4618479,237,31798,68977400
2022-08-14,57596,13560,4632039,202,32000,68977400
2022-08-28,57750,24699,4656738,375,32375,68977400
2022-09-04,57827,9542,4666280,145,32520,68977400
2022-09-11,57904,6457,4672737,97,32617,68977400
2022-09-18,57981,4787,4677524,89,32706,68977400
2022-09-25,58058,4435,4681959,65,32771,68977400
2022-10-02,58135,2915,4684874,58,32829,68977400
2022-10-09,58212,2234,4687108,53,32882,68977400
2022-10-16,58289,2616,4689724,40,32922,68977400
2022-10-30,58443,5290,4695014,73,32995,68977400
2022-11-06,58520,3163,4698177,42,33037,68977400
2022-11-13,58597,3940,4702117,69,33106,68977400
2022-11-20,58674,4894,4707011,74,33180,68977400
2022-11-27,58751,4268,2488017,105,11587,68977400
