"jhu_ID","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","country","last_update"
"China",2020-01-31,10,9783,9783,213,213,214,214,"Mainland China",NA
"Thailand",2020-01-31,10,19,19,0,0,8,8,"Thailand",NA
"Japan",2020-01-31,10,15,15,0,0,1,1,"Japan",NA
"Singapore",2020-01-31,10,13,13,0,0,0,0,"Singapore",NA
"HongKong",2020-01-31,10,12,12,0,0,0,0,"Hong Kong",NA
"RepublicofKorea",2020-01-31,10,11,11,0,0,0,0,"Republic of Korea",NA
"Taiwan",2020-01-31,10,10,10,0,0,0,0,"Taiwan",NA
"Australia",2020-01-31,10,9,9,0,0,2,2,"Australia",NA
"Malaysia",2020-01-31,10,8,8,0,0,0,0,"Malaysia",NA
"US",2020-01-31,10,8,8,0,0,0,0,"USA",NA
"Macao",2020-01-31,10,7,7,0,0,0,0,"Macao",NA
"France",2020-01-31,10,5,5,0,0,0,0,"France",NA
"Germany",2020-01-31,10,5,5,0,0,0,0,"Germany",NA
"Canada",2020-01-31,10,4,4,0,0,0,0,"Canada",NA
"UnitedArabEmirates",2020-01-31,10,4,4,0,0,0,0,"United Arab Emirates",NA
"Italy",2020-01-31,10,2,2,0,0,0,0,"Italy",NA
"Russia",2020-01-31,10,2,2,0,0,0,0,"Russia",NA
"UnitedKingdom",2020-01-31,10,2,2,0,0,0,0,"UK",NA
"Vietnam",2020-01-31,10,2,2,0,0,0,0,"Vietnam",NA
"Cambodia",2020-01-31,10,1,1,0,0,0,0,"Cambodia",NA
"Finland",2020-01-31,10,1,1,0,0,0,0,"Finland",NA
"India",2020-01-31,10,1,1,0,0,0,0,"India",NA
"Nepal",2020-01-31,10,1,1,0,0,0,0,"Nepal",NA
"Philippines",2020-01-31,10,1,1,0,0,0,0,"Philippines",NA
"SriLanka",2020-01-31,10,1,1,0,0,0,0,"Sri Lanka",NA
"China",2020-02-29,39,79251,69468,2835,2622,39279,39065,"Mainland China",NA
"RepublicofKorea",2020-02-29,39,3150,3139,16,16,27,27,"Republic of Korea",NA
"Italy",2020-02-29,39,1128,1126,29,29,46,47,"Italy",NA
"DiamondPrincess",2020-02-29,39,705,705,6,6,10,11,"Diamond Princess Cruise Ship",NA
"Iran",2020-02-29,39,593,593,43,43,123,123,"Iran (Islamic Republic of)",NA
"Japan",2020-02-29,39,245,230,6,6,32,31,"Japan",NA
"Singapore",2020-02-29,39,102,89,0,0,72,72,"Singapore",NA
"France",2020-02-29,39,100,95,2,2,12,12,"France",NA
"HongKong",2020-02-29,39,95,83,2,2,33,34,"Hong Kong",NA
"Germany",2020-02-29,39,79,74,0,0,16,16,"Germany",NA
"UnitedKingdom",2020-02-29,39,61,59,0,0,8,8,"UK",NA
"Kuwait",2020-02-29,39,45,45,0,0,0,0,"Kuwait",NA
"Spain",2020-02-29,39,45,45,0,0,2,2,"Spain",NA
"Thailand",2020-02-29,39,42,23,0,0,28,20,"Thailand",NA
"Bahrain",2020-02-29,39,41,41,0,0,0,0,"Bahrain",NA
"Taiwan",2020-02-29,39,39,29,1,1,9,9,"Taiwan",NA
"Malaysia",2020-02-29,39,29,21,0,0,22,22,"Malaysia",NA
"Australia",2020-02-29,39,25,16,0,0,11,9,"Australia",NA
"US",2020-02-29,39,25,17,1,1,7,7,"USA",NA
"Canada",2020-02-29,39,21,17,0,0,6,6,"Canada",NA
"UnitedArabEmirates",2020-02-29,39,21,17,0,0,5,5,"United Arab Emirates",NA
"Switzerland",2020-02-29,39,18,18,0,0,0,0,"Switzerland",NA
"Vietnam",2020-02-29,39,16,14,0,0,16,16,"Vietnam",NA
"Norway",2020-02-29,39,15,15,0,0,0,0,"Norway",NA
"Sweden",2020-02-29,39,14,14,0,0,0,0,"Sweden",NA
"Iraq",2020-02-29,39,13,13,0,0,0,0,"Iraq",NA
"Macao",2020-02-29,39,10,3,0,0,8,8,"Macao",NA
"Austria",2020-02-29,39,9,9,0,0,0,0,"Austria",NA
"Croatia",2020-02-29,39,6,6,0,0,0,0,"Croatia",NA
"Israel",2020-02-29,39,6,6,0,0,0,0,"Israel",NA
"Netherlands",2020-02-29,39,6,6,0,0,0,0,"Netherlands",NA
"Oman",2020-02-29,39,6,6,0,0,1,1,"Oman",NA
"Afghanistan",2020-02-29,39,5,5,0,0,0,0,"Afghanistan",NA
"Greece",2020-02-29,39,4,4,0,0,0,0,"Greece",NA
"Lebanon",2020-02-29,39,4,4,0,0,0,0,"Lebanon",NA
"Mexico",2020-02-29,39,4,4,0,0,0,0,"Mexico",NA
"Pakistan",2020-02-29,39,4,4,0,0,0,0,"Pakistan",NA
"Denmark",2020-02-29,39,3,3,0,0,0,0,"Denmark",NA
"Finland",2020-02-29,39,3,2,0,0,1,1,"Finland",NA
"India",2020-02-29,39,3,2,0,0,3,3,"India",NA
"Philippines",2020-02-29,39,3,2,1,1,1,1,"Philippines",NA
